movieCd,rank,audiAcc,movieNm,movieNmEn,openDt,genre1,genre2,genre3,audits
20184896,10,87787,가버나움,Capharnaum,20190124.0,드라마,액션,어드벤처,15세이상관람가
20176251,7,1910802,내안의 그놈,The Dude in Me,20190109.0,판타지,코미디,어드벤처,15세이상관람가
20189463,10,1754950,주먹왕 랄프 2: 인터넷 속으로,Ralph Breaks the Internet,20190103.0,애니메이션,어드벤처,코미디,전체관람가
20182544,6,452460,글래스,Glass,20190117.0,드라마,미스터리,SF,15세이상관람가
20186324,7,176837,언더독,Underdog,20190116.0,애니메이션,미스터리,SF,전체관람가
20185485,8,9910706,보헤미안 랩소디,Bohemian Rhapsody,20181031.0,드라마,미스터리,SF,12세이상관람가
20189385,10,30571,몬스터 파크,Here Comes the Grump,20190123.0,애니메이션,어드벤처,코미디,전체관람가
20180290,6,5019235,아쿠아맨,AQUAMAN,20181219.0,액션,어드벤처,코미디,12세이상관람가
20183915,7,379569,극장판 공룡메카드: 타이니소어의 섬,,20190110.0,애니메이션,어드벤처,코미디,전체관람가
20182588,9,77985,미래의 미라이,MIRAI,20190116.0,애니메이션,어드벤처,코미디,전체관람가
20186281,8,1553491,범블비,Bumblebee,20181225.0,액션,어드벤처,SF,12세이상관람가
20170658,9,1665200,PMC: 더 벙커,Take Point,20181226.0,액션,어드벤처,SF,15세이상관람가
20175547,10,1462873,스윙키즈,Swing Kids,20181219.0,드라마,어드벤처,SF,12세이상관람가
20183785,7,521053,점박이 한반도의 공룡2 : 새로운 낙원,,20181225.0,애니메이션,어드벤처,SF,전체관람가
20184187,8,172338,언니,No Mercy,20190101.0,액션,어드벤처,SF,청소년관람불가
20182421,10,543813,그린치,The Grinch,20181219.0,애니메이션,코미디,SF,전체관람가
20168773,5,1787825,마약왕,The Drug King,20181219.0,범죄,드라마,SF,청소년관람불가
20183479,9,259753,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,Crayon Shin-chan: Burst Serving! Kung Fu Boys - Ramen Rebellion,20181219.0,애니메이션,드라마,SF,전체관람가
20183238,10,628327,스파이더맨: 뉴 유니버스,Spider-Man: Into the Spider-Verse,20181212.0,애니메이션,액션,가족,12세이상관람가
20177552,6,3723913,국가부도의 날,Default,20181128.0,드라마,액션,가족,12세이상관람가
20179230,8,1546002,도어락,Door Lock,20181205.0,스릴러,드라마,가족,15세이상관람가
20183375,10,86997,극장판 포켓몬스터 모두의 이야기,Pokemon the Movie: The Power of Us,20181219.0,애니메이션,드라마,가족,전체관람가
20189843,5,408425,호두까기 인형과 4개의 왕국,The Nutcracker and the Four Realms,20181206.0,판타지,드라마,가족,전체관람가
20182082,6,87501,부탁 하나만 들어줘,A Simple Favor,20181212.0,스릴러,미스터리,가족,청소년관람불가
20178825,8,262070,모털 엔진,Mortal Engines,20181205.0,액션,어드벤처,SF,12세이상관람가
20183745,9,180709,런닝맨 : 풀룰루의 역습,Running Man,20181205.0,애니메이션,어드벤처,SF,전체관람가
20177538,10,5270621,완벽한 타인,Intimate Strangers,20181031.0,드라마,코미디,SF,15세이상관람가
20184481,7,1567264,성난황소,Unstoppable,20181122.0,범죄,액션,SF,15세이상관람가
20181905,9,276658,후드,Robin Hood,20181128.0,어드벤처,액션,SF,12세이상관람가
20176814,10,2403686,신비한 동물들과 그린델왈드의 범죄,Fantastic Beasts: The Crimes of Grindelwald,20181114.0,판타지,액션,SF,12세이상관람가
20183073,7,78439,베일리 어게인,A Dog's Purpose,20181122.0,어드벤처,드라마,코미디,전체관람가
20181171,8,229837,바울,"Paul, Apostle Of Christ",20181031.0,드라마,드라마,코미디,15세이상관람가
20183007,9,25172,거미줄에 걸린 소녀,THE GIRL IN THE SPIDER’S WEB,20181128.0,액션,스릴러,범죄,15세이상관람가
20182966,10,20419,투 프렌즈,TWO TAILS,20181129.0,애니메이션,어드벤처,범죄,전체관람가
20183050,5,298402,번 더 스테이지: 더 무비,Burn the Stage: the Movie,20181115.0,기타,어드벤처,범죄,전체관람가
20182935,8,71407,출국,Unfinished,20181114.0,드라마,어드벤처,범죄,15세이상관람가
20182669,9,24325,툴리,TULLY,20181122.0,드라마,어드벤처,범죄,15세이상관람가
20186822,10,48910,너의 췌장을 먹고 싶어,I want to eat your pancreas,20181115.0,애니메이션,드라마,범죄,12세이상관람가
20170513,5,445625,동네사람들,Ordinary People,20181107.0,액션,스릴러,범죄,15세이상관람가
20189869,10,15745,해피 투게더,Happy Together,20181115.0,드라마,코미디,범죄,12세이상관람가
20174981,5,1588443,창궐,Rampant,20181025.0,사극,액션,범죄,15세이상관람가
20010291,6,259733,해리포터와 마법사의 돌,Harry Potter And The Socrerers Stone,20011213.0,가족,판타지,범죄,전체관람가
20179006,7,55997,여곡성,The Wrath,20181108.0,공포(호러),미스터리,범죄,15세이상관람가
20181404,8,211233,벽 속에 숨은 마법시계,The house with a clock in its walls,20181031.0,판타지,공포(호러),미스터리,전체관람가
20180523,9,458917,스타 이즈 본,A Star Is Born,20181009.0,드라마,멜로/로맨스,미스터리,15세이상관람가
20182693,10,21400,구스범스: 몬스터의 역습,Goosebumps 2: Haunted Halloween,20181107.0,판타지,어드벤처,미스터리,12세이상관람가
20180987,6,90492,할로윈,Halloween,20181031.0,공포(호러),어드벤처,미스터리,청소년관람불가
20179189,7,3777611,암수살인,Dark Figure of Crime,20181003.0,범죄,드라마,미스터리,15세이상관람가
20189067,8,710780,미쓰백,Miss Baek,20181011.0,드라마,드라마,미스터리,15세이상관람가
20182403,10,147806,크레이지 리치 아시안,Crazy Rich Asians,20181025.0,멜로/로맨스,코미디,미스터리,12세이상관람가
20186321,3,630470,퍼스트맨,First Man,20181018.0,SF,드라마,미스터리,12세이상관람가
20177221,5,3851409,베놈,Venom,20181003.0,액션,SF,스릴러,15세이상관람가
20189123,10,486038,곰돌이 푸 다시 만나 행복해,Christopher Robin,20181003.0,어드벤처,SF,스릴러,전체관람가
20176122,7,5413370,안시성,The Great Battle,20180919.0,사극,액션,스릴러,12세이상관람가
20184678,8,29890,배반의 장미,Too Hot to Die,20181018.0,코미디,액션,스릴러,15세이상관람가
20187521,9,25631,펭귄 하이웨이,Penguin Highway,20181018.0,애니메이션,어드벤처,판타지,전체관람가
20180628,10,12152,액슬,A-X-L,20181018.0,액션,어드벤처,판타지,12세이상관람가
20180770,7,34822,다이노 어드벤처2: 육해공 공룡 대백과,Planet Dinosaur,20181009.0,애니메이션,액션,가족,전체관람가
20189462,8,83846,셜록 놈즈,Sherlock Gnomes,20181003.0,애니메이션,코미디,가족,전체관람가
20177308,9,1953273,협상,THE NEGOTIATION,20180919.0,범죄,코미디,가족,15세이상관람가
20188661,10,21620,에브리데이,EVERY DAY,20181011.0,멜로/로맨스,코미디,가족,12세이상관람가
20172204,6,2066465,명당,FENGSHUI,20180919.0,사극,코미디,가족,12세이상관람가
20167903,7,439910,원더풀 고스트,THE SOUL-MATE,20180926.0,코미디,드라마,범죄,12세이상관람가
20189262,9,1007366,더 넌,The Nun,20180919.0,공포(호러),드라마,범죄,15세이상관람가
20188304,7,151054,극장판 요괴워치 섀도사이드: 도깨비왕의 부활,Yo-Kai Watch 4,20180920.0,애니메이션,드라마,범죄,전체관람가
20180167,9,42980,에그엔젤 코코밍: 두근두근 핼러윈 파티,,20180922.0,애니메이션,드라마,범죄,전체관람가
20189746,10,35688,극장판 뽀잉: 슈퍼 변신의 비밀,"Boing, The Secret of Super Transformation",20180920.0,애니메이션,드라마,범죄,전체관람가
20156554,6,702096,물괴,Monstrum,20180912.0,액션,사극,범죄,15세이상관람가
20153446,8,2812226,너의 결혼식,On Your Wedding Day,20180822.0,멜로/로맨스,사극,범죄,12세이상관람가
20188581,10,169814,더 프레데터,The Predator,20180912.0,SF,액션,스릴러,청소년관람불가
20189362,5,178153,업그레이드,UPGRADE,20180906.0,액션,액션,스릴러,15세이상관람가
20177537,6,760945,상류사회,High Society,20180829.0,드라마,액션,스릴러,청소년관람불가
20181942,7,2280120,맘마미아!2,MAMMA MIA! HERE WE GO AGAIN,20180808.0,뮤지컬,액션,스릴러,12세이상관람가
20186202,8,12264813,신과함께-인과 연,Along with the Gods: The Last 49 Days,20180801.0,판타지,드라마,스릴러,12세이상관람가
20179101,9,4968325,공작,The Spy Gone North,20180808.0,드라마,드라마,스릴러,12세이상관람가
20170670,8,2512159,목격자,The Witness,20180815.0,스릴러,드라마,스릴러,15세이상관람가
20189261,9,41977,어드리프트:우리가 함께한 바다,ADRIFT,20180906.0,멜로/로맨스,드라마,스릴러,12세이상관람가
20187647,10,258016,나를 차버린 스파이,The Spy Who Dumped Me,20180822.0,액션,코미디,스릴러,15세이상관람가
20181181,9,6567099,미션 임파서블: 폴아웃,Mission:Impossible- Fallout,20180725.0,액션,스릴러,스릴러,15세이상관람가
20139221,10,3262924,그래비티,Gravity,20131017.0,SF,드라마,스릴러,12세이상관람가
20184802,7,1023630,몬스터 호텔 3,Hotel Transylvania 3: A Monster Vacation,20180808.0,애니메이션,코미디,가족,전체관람가
20183584,8,515536,메가로돈,The Meg,20180815.0,액션,공포(호러),SF,12세이상관람가
20187657,10,51350,마일22,Mile22,20180823.0,액션,어드벤처,스릴러,15세이상관람가
20187641,8,138640,극장판 도라에몽: 진구의 보물섬,Doraemon the Movie: Nobita's Treasure Island,20180815.0,애니메이션,SF,어드벤처,전체관람가
20187427,9,377257,명탐정 코난 : 제로의 집행인,Detective Conan: Zero the Enforcer,20180808.0,애니메이션,SF,어드벤처,12세이상관람가
20186501,10,854230,극장판 헬로카봇 : 백악기 시대,Hello Carbot the Movie: The Cretaceous Period,20180801.0,애니메이션,SF,어드벤처,전체관람가
20183361,8,2998015,인크레더블 2,INCREDIBLES 2,20180718.0,애니메이션,액션,어드벤처,전체관람가
