movieCd,rank,audiAcc,movieNm,movieNmEn,openDt,genre1,genre2,genre3,audits,image_url,userRating,link
20194541,9,39817,안녕 베일리,A Dog's journey,20190905.0,가족,액션,드라마,전체관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1817/181700_P34_164530.jpg,9.37,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181700
20185985,10,632384,광대들: 풍문조작단,Jesters: The Game Changers,20190821.0,사극,액션,드라마,12세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1676/167653_P58_145534.jpg,6.36,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167653
20194384,8,73250,안나,ANNA,20190828.0,액션,액션,드라마,15세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1836/183666_P01_135734.jpg,0.0,https://movie.naver.com/movie/bi/mi/basic.nhn?code=183666
20171021,9,194259,커런트 워,The Current War,20190822.0,드라마,액션,드라마,12세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1406/140656_P15_101312.jpg,7.78,https://movie.naver.com/movie/bi/mi/basic.nhn?code=140656
20198323,10,786502,레드슈즈,Red Shoes,20190725.0,애니메이션,코미디,판타지,전체관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1649/164907_P27_114523.jpg,9.23,https://movie.naver.com/movie/bi/mi/basic.nhn?code=164907
20182241,7,189725,"안녕, 티라노: 영원히, 함께","My TYRANO: Together, Forever",20190814.0,애니메이션,코미디,판타지,전체관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1546/154672_P27_101844.jpg,7.48,https://movie.naver.com/movie/bi/mi/basic.nhn?code=154672
20183844,8,1100521,마이펫의 이중생활 2,The Secret Life of Pets 2,20190731.0,애니메이션,어드벤처,코미디,전체관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1803/180374_P29_165443.jpg,8.78,https://movie.naver.com/movie/bi/mi/basic.nhn?code=180374
20191604,9,37839,애프터,After,20190822.0,드라마,멜로/로맨스,코미디,15세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1816/181694_P12_100024.jpg,7.22,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181694
20188404,6,85378,암전,Warning: Do Not Play,20190815.0,미스터리,공포(호러),코미디,15세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1775/177510_P40_150304.jpg,4.77,https://movie.naver.com/movie/bi/mi/basic.nhn?code=177510
20180442,7,1602046,사자,The Divine Fury,20190731.0,미스터리,액션,판타지,15세이상관람가,https://ssl.pstatic.net/imgmovie/mdi/mit110/1785/178544_P17_104316.jpg,6.89,https://movie.naver.com/movie/bi/mi/basic.nhn?code=178544
